Precipitation,Date.Full,Date.Month,Date.Week of,Date.Year,StationCity,Station.Code,Station.Location,StationState,TempAvg,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,WindSpeed,Population,lat,lon
0.6,2016-01-31,1,31,2016,Huntsville,HSV,"Huntsville, AL",Alabama,46,58,34,20,6.4,186254,34.730368799999994,-86.5861037
2.27,2016-02-07,2,7,2016,Huntsville,HSV,"Huntsville, AL",Alabama,48,60,37,23,5.98,186254,34.730368799999994,-86.5861037
0.01,2016-02-14,2,14,2016,Huntsville,HSV,"Huntsville, AL",Alabama,36,45,26,20,8.61,186254,34.730368799999994,-86.5861037
2.56,2016-02-21,2,21,2016,Huntsville,HSV,"Huntsville, AL",Alabama,51,58,43,21,6.45,186254,34.730368799999994,-86.5861037
1.54,2016-02-28,2,28,2016,Huntsville,HSV,"Huntsville, AL",Alabama,50,59,39,19,8.44,186254,34.730368799999994,-86.5861037
0.7,2016-03-06,3,6,2016,Huntsville,HSV,"Huntsville, AL",Alabama,47,58,36,23,3.85,186254,34.730368799999994,-86.5861037
1.2,2016-03-13,3,13,2016,Huntsville,HSV,"Huntsville, AL",Alabama,66,75,57,14,8.61,186254,34.730368799999994,-86.5861037
0.6,2016-03-20,3,20,2016,Huntsville,HSV,"Huntsville, AL",Alabama,59,71,46,25,6.01,186254,34.730368799999994,-86.5861037
0.14,2016-03-27,3,27,2016,Huntsville,HSV,"Huntsville, AL",Alabama,56,67,45,21,7.57,186254,34.730368799999994,-86.5861037
0.0,2016-04-03,4,3,2016,Huntsville,HSV,"Huntsville, AL",Alabama,57,66,47,20,5.56,186254,34.730368799999994,-86.5861037
0.41,2016-04-10,4,10,2016,Huntsville,HSV,"Huntsville, AL",Alabama,56,70,43,17,7.08,186254,34.730368799999994,-86.5861037
1.37,2016-04-17,4,17,2016,Huntsville,HSV,"Huntsville, AL",Alabama,62,71,51,10,7.97,186254,34.730368799999994,-86.5861037
0.04,2016-04-24,4,24,2016,Huntsville,HSV,"Huntsville, AL",Alabama,67,79,53,14,4.21,186254,34.730368799999994,-86.5861037
0.08,2016-05-01,5,1,2016,Huntsville,HSV,"Huntsville, AL",Alabama,71,78,63,19,4.5,186254,34.730368799999994,-86.5861037
0.41,2016-05-08,5,8,2016,Huntsville,HSV,"Huntsville, AL",Alabama,64,77,50,29,5.64,186254,34.730368799999994,-86.5861037
1.04,2016-05-15,5,15,2016,Huntsville,HSV,"Huntsville, AL",Alabama,70,80,60,20,6.0,186254,34.730368799999994,-86.5861037
0.09,2016-05-22,5,22,2016,Huntsville,HSV,"Huntsville, AL",Alabama,69,80,58,20,5.45,186254,34.730368799999994,-86.5861037
0.0,2016-05-29,5,29,2016,Huntsville,HSV,"Huntsville, AL",Alabama,75,88,62,21,4.14,186254,34.730368799999994,-86.5861037
2.56,2016-06-05,6,5,2016,Huntsville,HSV,"Huntsville, AL",Alabama,79,88,69,15,2.32,186254,34.730368799999994,-86.5861037
0.03,2016-06-12,6,12,2016,Huntsville,HSV,"Huntsville, AL",Alabama,77,91,62,22,2.95,186254,34.730368799999994,-86.5861037
0.23,2016-06-19,6,19,2016,Huntsville,HSV,"Huntsville, AL",Alabama,82,93,70,22,4.54,186254,34.730368799999994,-86.5861037
1.58,2016-06-26,6,26,2016,Huntsville,HSV,"Huntsville, AL",Alabama,84,95,72,19,3.51,186254,34.730368799999994,-86.5861037
0.06,2016-07-03,7,3,2016,Huntsville,HSV,"Huntsville, AL",Alabama,82,95,68,28,3.0,186254,34.730368799999994,-86.5861037
2.16,2016-07-10,7,10,2016,Huntsville,HSV,"Huntsville, AL",Alabama,83,93,73,23,5.35,186254,34.730368799999994,-86.5861037
1.74,2016-07-17,7,17,2016,Huntsville,HSV,"Huntsville, AL",Alabama,82,93,71,19,2.81,186254,34.730368799999994,-86.5861037
0.37,2016-07-24,7,24,2016,Huntsville,HSV,"Huntsville, AL",Alabama,85,97,73,19,1.08,186254,34.730368799999994,-86.5861037
0.6,2016-07-31,7,31,2016,Huntsville,HSV,"Huntsville, AL",Alabama,83,92,73,20,3.78,186254,34.730368799999994,-86.5861037
0.97,2016-08-07,8,7,2016,Huntsville,HSV,"Huntsville, AL",Alabama,83,93,73,27,1.54,186254,34.730368799999994,-86.5861037
0.73,2016-08-14,8,14,2016,Huntsville,HSV,"Huntsville, AL",Alabama,83,91,75,13,7.27,186254,34.730368799999994,-86.5861037
1.57,2016-08-21,8,21,2016,Huntsville,HSV,"Huntsville, AL",Alabama,82,91,72,24,3.47,186254,34.730368799999994,-86.5861037
1.61,2016-08-28,8,28,2016,Huntsville,HSV,"Huntsville, AL",Alabama,83,94,71,11,2.58,186254,34.730368799999994,-86.5861037
0.0,2016-09-04,9,4,2016,Huntsville,HSV,"Huntsville, AL",Alabama,82,92,71,6,7.65,186254,34.730368799999994,-86.5861037
0.31,2016-09-11,9,11,2016,Huntsville,HSV,"Huntsville, AL",Alabama,82,94,68,19,3.15,186254,34.730368799999994,-86.5861037
0.16,2016-09-18,9,18,2016,Huntsville,HSV,"Huntsville, AL",Alabama,81,92,69,11,3.47,186254,34.730368799999994,-86.5861037
0.0,2016-09-25,9,25,2016,Huntsville,HSV,"Huntsville, AL",Alabama,81,95,65,8,3.11,186254,34.730368799999994,-86.5861037
0.0,2016-10-02,10,2,2016,Huntsville,HSV,"Huntsville, AL",Alabama,68,82,53,15,1.95,186254,34.730368799999994,-86.5861037
0.0,2016-10-09,10,9,2016,Huntsville,HSV,"Huntsville, AL",Alabama,72,87,57,11,8.54,186254,34.730368799999994,-86.5861037
0.0,2016-10-16,10,16,2016,Huntsville,HSV,"Huntsville, AL",Alabama,69,83,55,9,4.38,186254,34.730368799999994,-86.5861037
0.77,2016-10-23,10,23,2016,Huntsville,HSV,"Huntsville, AL",Alabama,68,80,55,23,4.8,186254,34.730368799999994,-86.5861037
0.0,2016-10-30,10,30,2016,Huntsville,HSV,"Huntsville, AL",Alabama,69,85,53,21,2.0,186254,34.730368799999994,-86.5861037
0.01,2016-11-06,11,6,2016,Huntsville,HSV,"Huntsville, AL",Alabama,68,81,55,11,4.05,186254,34.730368799999994,-86.5861037
0.0,2016-11-13,11,13,2016,Huntsville,HSV,"Huntsville, AL",Alabama,57,71,44,20,4.98,186254,34.730368799999994,-86.5861037
0.2,2016-11-20,11,20,2016,Huntsville,HSV,"Huntsville, AL",Alabama,55,71,39,20,4.05,186254,34.730368799999994,-86.5861037
0.02,2016-11-27,11,27,2016,Huntsville,HSV,"Huntsville, AL",Alabama,49,64,34,15,4.48,186254,34.730368799999994,-86.5861037
1.25,2016-12-04,12,4,2016,Huntsville,HSV,"Huntsville, AL",Alabama,46,54,37,18,3.27,186254,34.730368799999994,-86.5861037
1.8,2016-12-11,12,11,2016,Huntsville,HSV,"Huntsville, AL",Alabama,42,50,34,23,6.31,186254,34.730368799999994,-86.5861037
1.29,2016-12-18,12,18,2016,Huntsville,HSV,"Huntsville, AL",Alabama,47,58,36,14,8.91,186254,34.730368799999994,-86.5861037
0.0,2016-12-25,12,25,2016,Huntsville,HSV,"Huntsville, AL",Alabama,48,58,38,9,6.44,186254,34.730368799999994,-86.5861037
1.57,2017-01-01,1,1,2017,Huntsville,HSV,"Huntsville, AL",Alabama,52,62,41,23,7.1,186254,34.730368799999994,-86.5861037
0.16,2016-01-03,1,3,2016,Mobile,MOB,"Mobile, AL",Alabama,46,51,41,35,9.73,194899,30.6953657,-88.0398912
0.13,2016-01-10,1,10,2016,Mobile,MOB,"Mobile, AL",Alabama,49,57,39,14,6.58,194899,30.6953657,-88.0398912
2.24,2016-01-17,1,17,2016,Mobile,MOB,"Mobile, AL",Alabama,48,60,35,16,4.37,194899,30.6953657,-88.0398912
2.53,2016-01-24,1,24,2016,Mobile,MOB,"Mobile, AL",Alabama,47,58,35,21,6.6,194899,30.6953657,-88.0398912
1.23,2016-01-31,1,31,2016,Mobile,MOB,"Mobile, AL",Alabama,54,64,42,21,7.34,194899,30.6953657,-88.0398912
1.18,2016-02-07,2,7,2016,Mobile,MOB,"Mobile, AL",Alabama,53,63,43,18,8.01,194899,30.6953657,-88.0398912
0.0,2016-02-14,2,14,2016,Mobile,MOB,"Mobile, AL",Alabama,50,62,37,21,8.48,194899,30.6953657,-88.0398912
1.48,2016-02-21,2,21,2016,Mobile,MOB,"Mobile, AL",Alabama,59,70,47,19,6.44,194899,30.6953657,-88.0398912
0.5,2016-02-28,2,28,2016,Mobile,MOB,"Mobile, AL",Alabama,55,66,43,25,6.6,194899,30.6953657,-88.0398912
0.11,2016-03-06,3,6,2016,Mobile,MOB,"Mobile, AL",Alabama,58,71,44,20,5.38,194899,30.6953657,-88.0398912
4.44,2016-03-13,3,13,2016,Mobile,MOB,"Mobile, AL",Alabama,67,73,60,13,12.8,194899,30.6953657,-88.0398912
1.53,2016-03-20,3,20,2016,Mobile,MOB,"Mobile, AL",Alabama,66,75,57,21,8.41,194899,30.6953657,-88.0398912
4.04,2016-03-27,3,27,2016,Mobile,MOB,"Mobile, AL",Alabama,61,71,50,21,6.94,194899,30.6953657,-88.0398912
2.68,2016-04-03,4,3,2016,Mobile,MOB,"Mobile, AL",Alabama,61,73,49,33,5.86,194899,30.6953657,-88.0398912
0.0,2016-04-10,4,10,2016,Mobile,MOB,"Mobile, AL",Alabama,64,78,50,21,5.35,194899,30.6953657,-88.0398912
1.39,2016-04-17,4,17,2016,Mobile,MOB,"Mobile, AL",Alabama,66,72,60,8,8.21,194899,30.6953657,-88.0398912
0.07,2016-04-24,4,24,2016,Mobile,MOB,"Mobile, AL",Alabama,69,80,57,19,5.11,194899,30.6953657,-88.0398912
0.05,2016-05-01,5,1,2016,Mobile,MOB,"Mobile, AL",Alabama,74,80,68,15,6.5,194899,30.6953657,-88.0398912
0.06,2016-05-08,5,8,2016,Mobile,MOB,"Mobile, AL",Alabama,68,79,56,27,5.08,194899,30.6953657,-88.0398912
0.07,2016-05-15,5,15,2016,Mobile,MOB,"Mobile, AL",Alabama,74,84,63,20,5.41,194899,30.6953657,-88.0398912
2.3,2016-05-22,5,22,2016,Mobile,MOB,"Mobile, AL",Alabama,75,83,66,10,5.5,194899,30.6953657,-88.0398912
0.0,2016-05-29,5,29,2016,Mobile,MOB,"Mobile, AL",Alabama,75,86,63,16,4.57,194899,30.6953657,-88.0398912
4.03,2016-06-05,6,5,2016,Mobile,MOB,"Mobile, AL",Alabama,78,87,69,14,4.6,194899,30.6953657,-88.0398912
0.22,2016-06-12,6,12,2016,Mobile,MOB,"Mobile, AL",Alabama,81,90,70,15,3.72,194899,30.6953657,-88.0398912
0.51,2016-06-19,6,19,2016,Mobile,MOB,"Mobile, AL",Alabama,82,90,73,19,4.21,194899,30.6953657,-88.0398912
0.02,2016-06-26,6,26,2016,Mobile,MOB,"Mobile, AL",Alabama,81,92,69,19,2.75,194899,30.6953657,-88.0398912
0.0,2016-07-03,7,3,2016,Mobile,MOB,"Mobile, AL",Alabama,84,94,74,24,3.86,194899,30.6953657,-88.0398912
0.95,2016-07-10,7,10,2016,Mobile,MOB,"Mobile, AL",Alabama,84,91,76,22,4.74,194899,30.6953657,-88.0398912
1.97,2016-07-17,7,17,2016,Mobile,MOB,"Mobile, AL",Alabama,81,89,73,18,1.92,194899,30.6953657,-88.0398912
2.49,2016-07-24,7,24,2016,Mobile,MOB,"Mobile, AL",Alabama,83,92,74,15,1.85,194899,30.6953657,-88.0398912
1.34,2016-07-31,7,31,2016,Mobile,MOB,"Mobile, AL",Alabama,82,90,74,19,4.01,194899,30.6953657,-88.0398912
0.77,2016-08-07,8,7,2016,Mobile,MOB,"Mobile, AL",Alabama,83,92,73,25,1.61,194899,30.6953657,-88.0398912
2.38,2016-08-14,8,14,2016,Mobile,MOB,"Mobile, AL",Alabama,81,86,75,21,4.8,194899,30.6953657,-88.0398912
1.14,2016-08-21,8,21,2016,Mobile,MOB,"Mobile, AL",Alabama,82,90,74,17,4.35,194899,30.6953657,-88.0398912
0.3,2016-08-28,8,28,2016,Mobile,MOB,"Mobile, AL",Alabama,83,92,74,12,2.88,194899,30.6953657,-88.0398912
1.09,2016-09-04,9,4,2016,Mobile,MOB,"Mobile, AL",Alabama,83,91,74,15,3.85,194899,30.6953657,-88.0398912
0.82,2016-09-11,9,11,2016,Mobile,MOB,"Mobile, AL",Alabama,80,88,71,14,2.37,194899,30.6953657,-88.0398912
1.68,2016-09-18,9,18,2016,Mobile,MOB,"Mobile, AL",Alabama,81,88,72,10,4.25,194899,30.6953657,-88.0398912
0.08,2016-09-25,9,25,2016,Mobile,MOB,"Mobile, AL",Alabama,82,93,71,24,2.34,194899,30.6953657,-88.0398912
0.0,2016-10-02,10,2,2016,Mobile,MOB,"Mobile, AL",Alabama,71,83,58,17,2.3,194899,30.6953657,-88.0398912
0.0,2016-10-09,10,9,2016,Mobile,MOB,"Mobile, AL",Alabama,75,87,63,13,6.75,194899,30.6953657,-88.0398912
0.0,2016-10-16,10,16,2016,Mobile,MOB,"Mobile, AL",Alabama,72,85,58,8,3.07,194899,30.6953657,-88.0398912
0.0,2016-10-23,10,23,2016,Mobile,MOB,"Mobile, AL",Alabama,70,82,57,21,5.45,194899,30.6953657,-88.0398912
0.0,2016-10-30,10,30,2016,Mobile,MOB,"Mobile, AL",Alabama,70,84,55,13,2.71,194899,30.6953657,-88.0398912
0.0,2016-11-06,11,6,2016,Mobile,MOB,"Mobile, AL",Alabama,70,83,57,15,4.48,194899,30.6953657,-88.0398912
0.51,2016-11-13,11,13,2016,Mobile,MOB,"Mobile, AL",Alabama,62,73,51,12,5.6,194899,30.6953657,-88.0398912
0.0,2016-11-20,11,20,2016,Mobile,MOB,"Mobile, AL",Alabama,59,74,45,23,4.31,194899,30.6953657,-88.0398912
0.0,2016-11-27,11,27,2016,Mobile,MOB,"Mobile, AL",Alabama,57,73,41,14,4.17,194899,30.6953657,-88.0398912
2.2,2016-12-04,12,4,2016,Mobile,MOB,"Mobile, AL",Alabama,56,66,46,13,6.77,194899,30.6953657,-88.0398912
1.22,2016-12-11,12,11,2016,Mobile,MOB,"Mobile, AL",Alabama,51,59,42,16,6.87,194899,30.6953657,-88.0398912
3.19,2016-12-18,12,18,2016,Mobile,MOB,"Mobile, AL",Alabama,59,70,49,20,7.81,194899,30.6953657,-88.0398912
0.0,2016-12-25,12,25,2016,Mobile,MOB,"Mobile, AL",Alabama,56,65,47,17,6.5,194899,30.6953657,-88.0398912
1.72,2017-01-01,1,1,2017,Mobile,MOB,"Mobile, AL",Alabama,62,71,53,22,6.33,194899,30.6953657,-88.0398912
0.0,2016-01-03,1,3,2016,Montgomery,MGM,"Montgomery, AL",Alabama,45,52,38,32,6.86,201332,32.366805199999995,-86.2999689
0.11,2016-01-10,1,10,2016,Montgomery,MGM,"Montgomery, AL",Alabama,47,55,38,15,7.55,201332,32.366805199999995,-86.2999689
1.48,2016-01-17,1,17,2016,Montgomery,MGM,"Montgomery, AL",Alabama,45,56,32,26,3.92,201332,32.366805199999995,-86.2999689
2.77,2016-01-24,1,24,2016,Montgomery,MGM,"Montgomery, AL",Alabama,42,53,31,25,4.62,201332,32.366805199999995,-86.2999689
0.89,2016-01-31,1,31,2016,Montgomery,MGM,"Montgomery, AL",Alabama,52,64,38,21,4.9,201332,32.366805199999995,-86.2999689
1.45,2016-02-07,2,7,2016,Montgomery,MGM,"Montgomery, AL",Alabama,53,64,42,26,5.88,201332,32.366805199999995,-86.2999689
0.0,2016-02-14,2,14,2016,Montgomery,MGM,"Montgomery, AL",Alabama,45,58,32,26,7.44,201332,32.366805199999995,-86.2999689
1.38,2016-02-21,2,21,2016,Montgomery,MGM,"Montgomery, AL",Alabama,57,70,44,20,4.7,201332,32.366805199999995,-86.2999689
2.58,2016-02-28,2,28,2016,Montgomery,MGM,"Montgomery, AL",Alabama,56,67,44,24,7.25,201332,32.366805199999995,-86.2999689
1.59,2016-03-06,3,6,2016,Montgomery,MGM,"Montgomery, AL",Alabama,54,66,41,20,4.26,201332,32.366805199999995,-86.2999689
0.26,2016-03-13,3,13,2016,Montgomery,MGM,"Montgomery, AL",Alabama,68,79,57,15,6.31,201332,32.366805199999995,-86.2999689
0.94,2016-03-20,3,20,2016,Montgomery,MGM,"Montgomery, AL",Alabama,67,78,55,20,6.01,201332,32.366805199999995,-86.2999689
0.52,2016-03-27,3,27,2016,Montgomery,MGM,"Montgomery, AL",Alabama,61,72,49,19,4.98,201332,32.366805199999995,-86.2999689
0.76,2016-04-03,4,3,2016,Montgomery,MGM,"Montgomery, AL",Alabama,63,73,52,30,5.23,201332,32.366805199999995,-86.2999689
0.46,2016-04-10,4,10,2016,Montgomery,MGM,"Montgomery, AL",Alabama,63,76,49,24,6.3,201332,32.366805199999995,-86.2999689
3.51,2016-04-17,4,17,2016,Montgomery,MGM,"Montgomery, AL",Alabama,64,73,55,12,7.97,201332,32.366805199999995,-86.2999689
0.58,2016-04-24,4,24,2016,Montgomery,MGM,"Montgomery, AL",Alabama,68,82,54,17,2.45,201332,32.366805199999995,-86.2999689
0.0,2016-05-01,5,1,2016,Montgomery,MGM,"Montgomery, AL",Alabama,77,85,69,17,1.6,201332,32.366805199999995,-86.2999689
0.12,2016-05-08,5,8,2016,Montgomery,MGM,"Montgomery, AL",Alabama,67,79,54,27,5.3,201332,32.366805199999995,-86.2999689
0.16,2016-05-15,5,15,2016,Montgomery,MGM,"Montgomery, AL",Alabama,73,84,62,24,4.25,201332,32.366805199999995,-86.2999689
0.45,2016-05-22,5,22,2016,Montgomery,MGM,"Montgomery, AL",Alabama,74,83,65,19,4.18,201332,32.366805199999995,-86.2999689
0.0,2016-05-29,5,29,2016,Montgomery,MGM,"Montgomery, AL",Alabama,76,89,63,19,2.15,201332,32.366805199999995,-86.2999689
0.39,2016-06-05,6,5,2016,Montgomery,MGM,"Montgomery, AL",Alabama,82,92,71,19,2.7,201332,32.366805199999995,-86.2999689
0.36,2016-06-12,6,12,2016,Montgomery,MGM,"Montgomery, AL",Alabama,81,94,69,18,2.52,201332,32.366805199999995,-86.2999689
1.67,2016-06-19,6,19,2016,Montgomery,MGM,"Montgomery, AL",Alabama,81,91,72,20,5.17,201332,32.366805199999995,-86.2999689
0.0,2016-06-26,6,26,2016,Montgomery,MGM,"Montgomery, AL",Alabama,82,94,69,19,2.3,201332,32.366805199999995,-86.2999689
0.0,2016-07-03,7,3,2016,Montgomery,MGM,"Montgomery, AL",Alabama,86,99,72,23,2.76,201332,32.366805199999995,-86.2999689
1.82,2016-07-10,7,10,2016,Montgomery,MGM,"Montgomery, AL",Alabama,85,95,75,22,4.34,201332,32.366805199999995,-86.2999689
1.9,2016-07-17,7,17,2016,Montgomery,MGM,"Montgomery, AL",Alabama,83,94,72,19,1.87,201332,32.366805199999995,-86.2999689
1.35,2016-07-24,7,24,2016,Montgomery,MGM,"Montgomery, AL",Alabama,85,96,75,19,1.75,201332,32.366805199999995,-86.2999689
0.54,2016-07-31,7,31,2016,Montgomery,MGM,"Montgomery, AL",Alabama,85,95,74,20,3.77,201332,32.366805199999995,-86.2999689
1.11,2016-08-07,8,7,2016,Montgomery,MGM,"Montgomery, AL",Alabama,86,97,74,24,1.61,201332,32.366805199999995,-86.2999689
0.9,2016-08-14,8,14,2016,Montgomery,MGM,"Montgomery, AL",Alabama,84,92,76,11,6.61,201332,32.366805199999995,-86.2999689
0.26,2016-08-21,8,21,2016,Montgomery,MGM,"Montgomery, AL",Alabama,84,94,74,19,2.68,201332,32.366805199999995,-86.2999689
